market,cell,target,pass_rate,lattice_min,lattice_max,best_dev_given_others_pass,count_others_pass
de,cagr,0.086,0.999993325823649,0.032709091847505256,0.09706339325485702,,0
de,volatility,0.164,1.0,0.13605561469328165,0.21285304643648184,,0
de,sharpe,0.44,0.21399510510962583,0.1302543144962219,0.49380376030569967,0.09072293959197902,4
de,maximum_drawdown,-0.394,0.2372526321591974,-0.713261835596269,-0.28041832200537653,,0
de,calmar,0.18,0.37343252642541247,0.03163067980362487,0.24891246117541338,,0
de,expected_shortfall_5pct,-0.025,1.0,-0.032026756406643125,-0.021767017559269932,,0
de,turnover,1.7,0.0001930567307461754,0.029295512671471752,4.628691002092537,0.23522436642641242,139911
de,leverage,0.84,0.4638238630478788,0.6842594745408045,0.9432690072076262,0.11191350848639847,2
de,BEST_within_tol,8.0,0.0,2.0,7.0,,139917
jp,cagr,0.047,0.9982190580791572,-0.016346790977908476,0.05191679424062201,,0
jp,volatility,0.171,1.0,0.13162893699877712,0.19756994739441963,,0
jp,sharpe,0.31,0.02424995023749597,-0.07158689654741704,0.3529878439107341,,0
jp,maximum_drawdown,-0.453,0.1813072837149806,-0.8690012867147356,-0.28811269127303496,,0
jp,calmar,0.12,0.12481446416645027,-0.013461725244773116,0.18268049920951232,,0
jp,expected_shortfall_5pct,-0.026,1.0,-0.03054912712174305,-0.021508526743695813,,0
jp,turnover,0.72,0.02318033426257021,0.09069097888675624,6.696017274472169,,0
jp,leverage,0.75,2.6270560502616445e-06,0.4966410748560461,0.7372840690978887,0.11396353166986561,2668
jp,BEST_within_tol,8.0,0.0,2.0,7.0,,2668
